epoch [1/80], train_loss: g_loss: 8.17627239227295, d_loss: 0.01990433596074581, val_loss: 12.062368233998617
epoch [2/80], train_loss: g_loss: 7.743921279907227, d_loss: 0.11481309682130814, val_loss: 9.13257888952891
epoch [3/80], train_loss: g_loss: 4.584504127502441, d_loss: 0.08517667651176453, val_loss: 7.2883827686309814
epoch [4/80], train_loss: g_loss: 4.539690017700195, d_loss: 0.2270875871181488, val_loss: 4.565361976623535
epoch [5/80], train_loss: g_loss: 3.7962708473205566, d_loss: 0.4518537223339081, val_loss: 4.891089558601379
epoch [6/80], train_loss: g_loss: 5.0390424728393555, d_loss: 0.0813421756029129, val_loss: 4.909951090812683
epoch [7/80], train_loss: g_loss: 5.016909599304199, d_loss: 0.8147193193435669, val_loss: 6.60642143090566
epoch [8/80], train_loss: g_loss: 4.209041595458984, d_loss: 0.9199695587158203, val_loss: 3.0413667360941568
epoch [9/80], train_loss: g_loss: 3.2217047214508057, d_loss: 0.4981556236743927, val_loss: 4.123512049516042
epoch [10/80], train_loss: g_loss: 5.18332576751709, d_loss: 0.36908915638923645, val_loss: 6.49867304166158
epoch [11/80], train_loss: g_loss: 4.047855854034424, d_loss: 0.21291957795619965, val_loss: 5.029895921548207
epoch [12/80], train_loss: g_loss: 4.140376091003418, d_loss: 0.11768993735313416, val_loss: 4.30776305993398
epoch [13/80], train_loss: g_loss: 4.995110511779785, d_loss: 0.1542607694864273, val_loss: 6.296492536862691
epoch [14/80], train_loss: g_loss: 4.4786577224731445, d_loss: 0.1974027156829834, val_loss: 5.157232026259105
epoch [15/80], train_loss: g_loss: 6.32574462890625, d_loss: 0.6393659114837646, val_loss: 8.666990399360657
epoch [16/80], train_loss: g_loss: 4.483345985412598, d_loss: 0.18686234951019287, val_loss: 6.094694296518962
epoch [17/80], train_loss: g_loss: 3.774716377258301, d_loss: 0.2605120539665222, val_loss: 6.779176990191142
epoch [18/80], train_loss: g_loss: 3.654764413833618, d_loss: 0.27691811323165894, val_loss: 4.609902818997701
epoch [19/80], train_loss: g_loss: 4.443150520324707, d_loss: 0.09364007413387299, val_loss: 5.286765396595001
epoch [20/80], train_loss: g_loss: 2.979736566543579, d_loss: 0.12921884655952454, val_loss: 3.8326427141825357
epoch [21/80], train_loss: g_loss: 9.278661727905273, d_loss: 0.15545499324798584, val_loss: 8.375749150911966
epoch [22/80], train_loss: g_loss: 5.345720291137695, d_loss: 0.05577266961336136, val_loss: 6.103001674016316
epoch [23/80], train_loss: g_loss: 4.947478771209717, d_loss: 0.25140082836151123, val_loss: 4.412502388159434
epoch [24/80], train_loss: g_loss: 3.780405044555664, d_loss: 0.09347791224718094, val_loss: 5.467131058375041
epoch [25/80], train_loss: g_loss: 4.945109844207764, d_loss: 0.1930314153432846, val_loss: 5.036911308765411
epoch [26/80], train_loss: g_loss: 8.27834701538086, d_loss: 0.030229609459638596, val_loss: 9.185862143834433
epoch [27/80], train_loss: g_loss: 5.4581098556518555, d_loss: 0.2056293785572052, val_loss: 6.086429675420125
epoch [28/80], train_loss: g_loss: 4.858755111694336, d_loss: 0.334745317697525, val_loss: 6.0112260182698565
epoch [29/80], train_loss: g_loss: 4.125133514404297, d_loss: 0.13055753707885742, val_loss: 4.307725707689921
epoch [30/80], train_loss: g_loss: 3.898184299468994, d_loss: 0.10503710806369781, val_loss: 4.020434161027272
epoch [31/80], train_loss: g_loss: 7.365056037902832, d_loss: 0.3778580129146576, val_loss: 6.936644236246745
epoch [32/80], train_loss: g_loss: 3.9952101707458496, d_loss: 0.08977538347244263, val_loss: 5.392342646916707
epoch [33/80], train_loss: g_loss: 5.6228790283203125, d_loss: 0.03215400502085686, val_loss: 5.985145688056946
epoch [34/80], train_loss: g_loss: 5.2149457931518555, d_loss: 0.05643502622842789, val_loss: 7.6200196743011475
epoch [35/80], train_loss: g_loss: 3.64713716506958, d_loss: 0.2728229761123657, val_loss: 4.383495330810547
epoch [36/80], train_loss: g_loss: 2.204183578491211, d_loss: 0.38326725363731384, val_loss: 3.763051758209864
epoch [37/80], train_loss: g_loss: 4.5352702140808105, d_loss: 0.2055814415216446, val_loss: 5.724206447601318
epoch [38/80], train_loss: g_loss: 2.9659411907196045, d_loss: 0.464421808719635, val_loss: 4.843766291936238
epoch [39/80], train_loss: g_loss: 4.19525146484375, d_loss: 0.1401185840368271, val_loss: 5.558029095331828
epoch [40/80], train_loss: g_loss: 1.7045942544937134, d_loss: 0.6077279448509216, val_loss: 2.952784697214762
epoch [41/80], train_loss: g_loss: 4.515561103820801, d_loss: 0.06612652540206909, val_loss: 5.7033518354098005
epoch [42/80], train_loss: g_loss: 7.003103256225586, d_loss: 0.4139154851436615, val_loss: 8.654562830924988
epoch [43/80], train_loss: g_loss: 5.489587306976318, d_loss: 0.19725200533866882, val_loss: 7.200528820355733
epoch [44/80], train_loss: g_loss: 5.7973246574401855, d_loss: 0.15378685295581818, val_loss: 6.378821492195129
epoch [45/80], train_loss: g_loss: 3.8322572708129883, d_loss: 0.19753623008728027, val_loss: 6.0303811232248945
epoch [46/80], train_loss: g_loss: 6.499026298522949, d_loss: 0.4633280038833618, val_loss: 8.588425397872925
epoch [47/80], train_loss: g_loss: 5.464661121368408, d_loss: 0.5029515027999878, val_loss: 6.312685132026672
epoch [48/80], train_loss: g_loss: 4.0629987716674805, d_loss: 0.181117981672287, val_loss: 4.938128471374512
epoch [49/80], train_loss: g_loss: 4.368804454803467, d_loss: 0.21739715337753296, val_loss: 4.76315712928772
epoch [50/80], train_loss: g_loss: 6.292396068572998, d_loss: 0.9628397226333618, val_loss: 9.37094775835673
epoch [51/80], train_loss: g_loss: 3.4794416427612305, d_loss: 0.12009617686271667, val_loss: 5.091476599375407
epoch [52/80], train_loss: g_loss: 4.95458984375, d_loss: 0.02414407581090927, val_loss: 5.107532739639282
epoch [53/80], train_loss: g_loss: 4.157847881317139, d_loss: 0.2544539272785187, val_loss: 4.943666458129883
epoch [54/80], train_loss: g_loss: 5.173323631286621, d_loss: 0.04484410956501961, val_loss: 6.335328658421834
epoch [55/80], train_loss: g_loss: 3.232637643814087, d_loss: 0.17856913805007935, val_loss: 4.524128357569377
epoch [56/80], train_loss: g_loss: 3.5194168090820312, d_loss: 0.2759566307067871, val_loss: 5.278792937596639
epoch [57/80], train_loss: g_loss: 2.3818554878234863, d_loss: 0.19452106952667236, val_loss: 2.923225382963816
epoch [58/80], train_loss: g_loss: 0.6254973411560059, d_loss: 2.4839892387390137, val_loss: 1.3165688713391621
epoch [59/80], train_loss: g_loss: 2.9390869140625, d_loss: 0.17175181210041046, val_loss: 4.594914078712463
epoch [60/80], train_loss: g_loss: 3.205385208129883, d_loss: 0.3641340434551239, val_loss: 4.103465338548024
epoch [61/80], train_loss: g_loss: 5.259897232055664, d_loss: 0.166663259267807, val_loss: 8.061935981114706
epoch [62/80], train_loss: g_loss: 1.3630576133728027, d_loss: 0.4646216630935669, val_loss: 2.2572464446226754
epoch [63/80], train_loss: g_loss: 2.771890878677368, d_loss: 0.29236316680908203, val_loss: 4.417435646057129
epoch [64/80], train_loss: g_loss: 4.61313009262085, d_loss: 0.14480340480804443, val_loss: 4.87917959690094
epoch [65/80], train_loss: g_loss: 4.545841217041016, d_loss: 0.16438966989517212, val_loss: 6.468215624491374
epoch [66/80], train_loss: g_loss: 5.104127883911133, d_loss: 0.07921198010444641, val_loss: 6.249080419540405
epoch [67/80], train_loss: g_loss: 5.156007289886475, d_loss: 0.09722527861595154, val_loss: 6.289083242416382
epoch [68/80], train_loss: g_loss: 4.309350967407227, d_loss: 0.13592250645160675, val_loss: 6.029402891794841
epoch [69/80], train_loss: g_loss: 4.150481224060059, d_loss: 0.208416149020195, val_loss: 4.78346053759257
epoch [70/80], train_loss: g_loss: 2.570706844329834, d_loss: 0.1777838170528412, val_loss: 3.756013572216034
epoch [71/80], train_loss: g_loss: 2.9771575927734375, d_loss: 0.20235657691955566, val_loss: 2.813433885574341
epoch [72/80], train_loss: g_loss: 1.7274985313415527, d_loss: 0.5544784069061279, val_loss: 3.873562673727671
epoch [73/80], train_loss: g_loss: 4.250596523284912, d_loss: 0.15358924865722656, val_loss: 6.406324704488118
epoch [74/80], train_loss: g_loss: 3.7534525394439697, d_loss: 0.3768119215965271, val_loss: 5.230548858642578
epoch [75/80], train_loss: g_loss: 2.171292543411255, d_loss: 0.25314170122146606, val_loss: 2.608282188574473
epoch [76/80], train_loss: g_loss: 2.8416285514831543, d_loss: 0.35999977588653564, val_loss: 3.9643130699793496
epoch [77/80], train_loss: g_loss: 3.787259578704834, d_loss: 0.13036063313484192, val_loss: 4.0584709246953325
epoch [78/80], train_loss: g_loss: 3.635862350463867, d_loss: 0.16784459352493286, val_loss: 4.04600457350413
epoch [79/80], train_loss: g_loss: 3.6361279487609863, d_loss: 0.10979761183261871, val_loss: 5.205957293510437
epoch [80/80], train_loss: g_loss: 8.890777587890625, d_loss: 1.0268326997756958, val_loss: 11.153485774993896
