epoch [1/80], train_loss: g_loss: 7.407713890075684, d_loss: 0.0038325286004692316, val_loss: 9.164659076266819
epoch [2/80], train_loss: g_loss: 9.314075469970703, d_loss: 0.020592985674738884, val_loss: 19.78308041890462
epoch [3/80], train_loss: g_loss: 5.94943380355835, d_loss: 0.04031163454055786, val_loss: 5.7394591437445746
epoch [4/80], train_loss: g_loss: 3.396116256713867, d_loss: 0.3746291995048523, val_loss: 3.6185545126597085
epoch [5/80], train_loss: g_loss: 4.53092098236084, d_loss: 0.2584996223449707, val_loss: 3.4427951176961265
epoch [6/80], train_loss: g_loss: 4.553313255310059, d_loss: 0.11177289485931396, val_loss: 4.063961505889893
epoch [7/80], train_loss: g_loss: 5.977684020996094, d_loss: 0.3259778618812561, val_loss: 6.5811202261182995
epoch [8/80], train_loss: g_loss: 2.4718565940856934, d_loss: 0.9706397652626038, val_loss: 2.426335997051663
epoch [9/80], train_loss: g_loss: 4.900045871734619, d_loss: 0.8141452074050903, val_loss: 3.700527694490221
epoch [10/80], train_loss: g_loss: 2.4055566787719727, d_loss: 0.559842586517334, val_loss: 2.6290473408169217
epoch [11/80], train_loss: g_loss: 3.4773306846618652, d_loss: 0.3015061616897583, val_loss: 3.5476977825164795
epoch [12/80], train_loss: g_loss: 4.758824348449707, d_loss: 0.5775438547134399, val_loss: 4.608956548902723
epoch [13/80], train_loss: g_loss: 3.7927873134613037, d_loss: 0.20868167281150818, val_loss: 3.1728809939490423
epoch [14/80], train_loss: g_loss: 5.072039604187012, d_loss: 0.0987159013748169, val_loss: 4.329709238476223
epoch [15/80], train_loss: g_loss: 3.3628172874450684, d_loss: 0.5824548006057739, val_loss: 3.0866623984442816
epoch [16/80], train_loss: g_loss: 4.060195446014404, d_loss: 0.1127825453877449, val_loss: 3.904762797885471
epoch [17/80], train_loss: g_loss: 3.9736862182617188, d_loss: 0.48530128598213196, val_loss: 4.436469925774468
epoch [18/80], train_loss: g_loss: 7.3766632080078125, d_loss: 0.06033194437623024, val_loss: 5.8158595826890735
epoch [19/80], train_loss: g_loss: 4.848699569702148, d_loss: 0.42505019903182983, val_loss: 5.186354849073622
epoch [20/80], train_loss: g_loss: 5.4122748374938965, d_loss: 0.24371112883090973, val_loss: 6.174248960283068
epoch [21/80], train_loss: g_loss: 4.5979838371276855, d_loss: 0.6596612334251404, val_loss: 3.956704960929023
epoch [22/80], train_loss: g_loss: 4.897348403930664, d_loss: 0.24139854311943054, val_loss: 4.854717254638672
epoch [23/80], train_loss: g_loss: 3.863801956176758, d_loss: 0.10854902863502502, val_loss: 5.070388926400079
epoch [24/80], train_loss: g_loss: 5.570817470550537, d_loss: 0.21190042793750763, val_loss: 7.023802280426025
epoch [25/80], train_loss: g_loss: 3.061474561691284, d_loss: 0.6341802477836609, val_loss: 2.5546139213773937
epoch [26/80], train_loss: g_loss: 3.665548324584961, d_loss: 0.1303551197052002, val_loss: 4.676814450158013
epoch [27/80], train_loss: g_loss: 6.986247539520264, d_loss: 0.5134290456771851, val_loss: 8.926355573866102
epoch [28/80], train_loss: g_loss: 4.72135066986084, d_loss: 0.18265318870544434, val_loss: 5.542241043514675
epoch [29/80], train_loss: g_loss: 4.46484899520874, d_loss: 0.049745187163352966, val_loss: 4.328563080893622
epoch [30/80], train_loss: g_loss: 3.9406847953796387, d_loss: 0.41582411527633667, val_loss: 4.464088651869032
epoch [31/80], train_loss: g_loss: 4.7631354331970215, d_loss: 0.129538893699646, val_loss: 6.213744004567464
epoch [32/80], train_loss: g_loss: 5.5375213623046875, d_loss: 2.318777322769165, val_loss: 5.081188042958577
epoch [33/80], train_loss: g_loss: 4.4312424659729, d_loss: 0.1503888964653015, val_loss: 5.538087871339586
epoch [34/80], train_loss: g_loss: 3.682133436203003, d_loss: 0.2235146164894104, val_loss: 4.944650279151069
epoch [35/80], train_loss: g_loss: 6.7627153396606445, d_loss: 0.996954619884491, val_loss: 8.086759673224556
epoch [36/80], train_loss: g_loss: 3.794440746307373, d_loss: 0.14588388800621033, val_loss: 4.071441253026326
epoch [37/80], train_loss: g_loss: 4.68018913269043, d_loss: 0.12590253353118896, val_loss: 5.0407699478997126
epoch [38/80], train_loss: g_loss: 4.73945951461792, d_loss: 0.044222090393304825, val_loss: 3.854482730229696
epoch [39/80], train_loss: g_loss: 4.803717613220215, d_loss: 0.15377192199230194, val_loss: 4.79208501180013
epoch [40/80], train_loss: g_loss: 1.7703676223754883, d_loss: 0.6637042760848999, val_loss: 3.0779636436038547
epoch [41/80], train_loss: g_loss: 4.063998699188232, d_loss: 0.3927226960659027, val_loss: 4.892452557881673
epoch [42/80], train_loss: g_loss: 3.6096627712249756, d_loss: 0.13565245270729065, val_loss: 5.805996100107829
epoch [43/80], train_loss: g_loss: 2.2828001976013184, d_loss: 0.2764953374862671, val_loss: 3.622698492474026
epoch [44/80], train_loss: g_loss: 3.877185821533203, d_loss: 0.29858162999153137, val_loss: 5.080131424797906
epoch [45/80], train_loss: g_loss: 3.2058589458465576, d_loss: 0.23059329390525818, val_loss: 4.400842295752631
epoch [46/80], train_loss: g_loss: 2.901780605316162, d_loss: 0.4248082637786865, val_loss: 4.081278747982449
epoch [47/80], train_loss: g_loss: 4.8533196449279785, d_loss: 0.17690446972846985, val_loss: 4.63585705227322
epoch [48/80], train_loss: g_loss: 7.51883602142334, d_loss: 2.174015760421753, val_loss: 9.695903142293295
epoch [49/80], train_loss: g_loss: 4.10060977935791, d_loss: 0.10240225493907928, val_loss: 5.231870121426052
epoch [50/80], train_loss: g_loss: 4.462318420410156, d_loss: 0.34163153171539307, val_loss: 7.593631161583795
epoch [51/80], train_loss: g_loss: 5.59205436706543, d_loss: 0.19413384795188904, val_loss: 6.453074084387885
epoch [52/80], train_loss: g_loss: 5.083185195922852, d_loss: 0.19589968025684357, val_loss: 4.042967134051853
epoch [53/80], train_loss: g_loss: 5.055772304534912, d_loss: 0.48407182097435, val_loss: 5.583333863152398
epoch [54/80], train_loss: g_loss: 2.1332879066467285, d_loss: 1.2000199556350708, val_loss: 2.4477299451828003
epoch [55/80], train_loss: g_loss: 1.9084076881408691, d_loss: 0.6297512650489807, val_loss: 2.3535320229000516
epoch [56/80], train_loss: g_loss: 4.026764869689941, d_loss: 0.11230874806642532, val_loss: 4.76063527001275
epoch [57/80], train_loss: g_loss: 0.3002890348434448, d_loss: 1.005092978477478, val_loss: 0.6680356363455454
epoch [58/80], train_loss: g_loss: 3.2030246257781982, d_loss: 0.39402705430984497, val_loss: 4.9591396119859485
epoch [59/80], train_loss: g_loss: 3.6203670501708984, d_loss: 0.2883118689060211, val_loss: 5.171738624572754
epoch [60/80], train_loss: g_loss: 5.537117004394531, d_loss: 0.04567867890000343, val_loss: 6.3951670328776045
epoch [61/80], train_loss: g_loss: 5.697610378265381, d_loss: 0.02906162664294243, val_loss: 6.250469101799859
epoch [62/80], train_loss: g_loss: 3.5620734691619873, d_loss: 0.3084612488746643, val_loss: 5.389517015881008
epoch [63/80], train_loss: g_loss: 1.5310924053192139, d_loss: 0.6057628989219666, val_loss: 1.8249678479300604
epoch [64/80], train_loss: g_loss: 4.826266288757324, d_loss: 0.4944961965084076, val_loss: 8.468997849358452
epoch [65/80], train_loss: g_loss: 2.445091724395752, d_loss: 0.1967467963695526, val_loss: 3.835177024205526
epoch [66/80], train_loss: g_loss: 2.7942073345184326, d_loss: 0.45719143748283386, val_loss: 3.6810135576460095
epoch [67/80], train_loss: g_loss: 1.911712408065796, d_loss: 0.4358776807785034, val_loss: 3.1557746993170843
epoch [68/80], train_loss: g_loss: 5.778684616088867, d_loss: 0.15727171301841736, val_loss: 5.807189093695746
epoch [69/80], train_loss: g_loss: 3.8307127952575684, d_loss: 0.13294193148612976, val_loss: 4.473661131329006
epoch [70/80], train_loss: g_loss: 4.056774139404297, d_loss: 0.2289360612630844, val_loss: 5.517728752560085
epoch [71/80], train_loss: g_loss: 3.969858169555664, d_loss: 0.25081121921539307, val_loss: 4.515305413140191
epoch [72/80], train_loss: g_loss: 3.2463531494140625, d_loss: 0.21250422298908234, val_loss: 5.51410092247857
epoch [73/80], train_loss: g_loss: 4.573247909545898, d_loss: 0.06304337829351425, val_loss: 4.188560591803657
epoch [74/80], train_loss: g_loss: 3.6315019130706787, d_loss: 0.16330642998218536, val_loss: 4.817318518956502
epoch [75/80], train_loss: g_loss: 2.785510778427124, d_loss: 0.13147854804992676, val_loss: 3.7131027380625405
epoch [76/80], train_loss: g_loss: 1.1197654008865356, d_loss: 0.4127553701400757, val_loss: 2.427207284503513
epoch [77/80], train_loss: g_loss: 4.666372299194336, d_loss: 0.24503174424171448, val_loss: 5.090357780456543
epoch [78/80], train_loss: g_loss: 2.6733062267303467, d_loss: 0.2980102300643921, val_loss: 4.141968621148004
epoch [79/80], train_loss: g_loss: 4.744751930236816, d_loss: 0.07623322308063507, val_loss: 3.4281921916537814
epoch [80/80], train_loss: g_loss: 0.9826978445053101, d_loss: 0.8650171756744385, val_loss: 1.7491276264190674
