epoch [1/80], train_loss: g_loss: 2.7740211486816406, d_loss: 0.16263997554779053, val_loss: 6.212574746873644
epoch [2/80], train_loss: g_loss: 12.341083526611328, d_loss: 0.007973900064826012, val_loss: 16.11054039001465
epoch [3/80], train_loss: g_loss: 7.274041652679443, d_loss: 0.14512452483177185, val_loss: 4.291268507639567
epoch [4/80], train_loss: g_loss: 6.187495231628418, d_loss: 0.09113726764917374, val_loss: 5.321933375464545
epoch [5/80], train_loss: g_loss: 4.28281831741333, d_loss: 0.937498927116394, val_loss: 5.179681777954102
epoch [6/80], train_loss: g_loss: 4.007403373718262, d_loss: 1.592494249343872, val_loss: 3.0435308615366616
epoch [7/80], train_loss: g_loss: 6.4391021728515625, d_loss: 0.9332614541053772, val_loss: 6.777024163140191
epoch [8/80], train_loss: g_loss: 5.840244293212891, d_loss: 0.36835014820098877, val_loss: 5.775321271684435
epoch [9/80], train_loss: g_loss: 3.604304075241089, d_loss: 0.09251280128955841, val_loss: 4.444135533438788
epoch [10/80], train_loss: g_loss: 2.5699079036712646, d_loss: 0.6259150505065918, val_loss: 2.6751761436462402
epoch [11/80], train_loss: g_loss: 5.828668117523193, d_loss: 0.22154614329338074, val_loss: 9.328068839179146
epoch [12/80], train_loss: g_loss: 5.641079902648926, d_loss: 0.08701720088720322, val_loss: 5.728384388817681
epoch [13/80], train_loss: g_loss: 6.506111145019531, d_loss: 0.4510990381240845, val_loss: 10.851004918416342
epoch [14/80], train_loss: g_loss: 4.813652992248535, d_loss: 0.24548473954200745, val_loss: 4.957003090116713
epoch [15/80], train_loss: g_loss: 5.768948554992676, d_loss: 0.08600382506847382, val_loss: 6.778868940141466
epoch [16/80], train_loss: g_loss: 6.537087917327881, d_loss: 0.6638498902320862, val_loss: 7.060072263081868
epoch [17/80], train_loss: g_loss: 5.148871898651123, d_loss: 0.46396806836128235, val_loss: 7.042164961496989
epoch [18/80], train_loss: g_loss: 5.040657043457031, d_loss: 0.2169661521911621, val_loss: 5.126596371332805
epoch [19/80], train_loss: g_loss: 5.528575897216797, d_loss: 0.2752750515937805, val_loss: 4.580498589409722
epoch [20/80], train_loss: g_loss: 4.293142318725586, d_loss: 0.15369126200675964, val_loss: 4.931563324398464
epoch [21/80], train_loss: g_loss: 4.456576347351074, d_loss: 0.1359226554632187, val_loss: 4.513314618004693
epoch [22/80], train_loss: g_loss: 5.021620750427246, d_loss: 0.4702155590057373, val_loss: 5.644347402784559
