epoch [1/80], train_loss: g_loss: 6.020444393157959, d_loss: 0.04960871487855911, val_loss: 5.4185976421131805
epoch [2/80], train_loss: g_loss: 4.136050224304199, d_loss: 0.21954110264778137, val_loss: 2.054593556067523
epoch [3/80], train_loss: g_loss: 4.991483688354492, d_loss: 0.4939345717430115, val_loss: 4.890700312221751
epoch [4/80], train_loss: g_loss: 4.6468095779418945, d_loss: 0.3880492150783539, val_loss: 5.003228411954992
epoch [5/80], train_loss: g_loss: 4.28916072845459, d_loss: 0.11301334947347641, val_loss: 4.044265704996445
epoch [6/80], train_loss: g_loss: 4.506735801696777, d_loss: 0.7549766898155212, val_loss: 6.720504340003519
epoch [7/80], train_loss: g_loss: 2.535317897796631, d_loss: 0.8045748472213745, val_loss: 4.353627892101512
epoch [8/80], train_loss: g_loss: 5.740920543670654, d_loss: 0.5531709790229797, val_loss: 5.994038076961742
epoch [9/80], train_loss: g_loss: 4.413796901702881, d_loss: 0.29125285148620605, val_loss: 4.457356130375581
epoch [10/80], train_loss: g_loss: 5.065129280090332, d_loss: 0.13012565672397614, val_loss: 5.815114189596737
epoch [11/80], train_loss: g_loss: 3.5299949645996094, d_loss: 0.3196304440498352, val_loss: 4.5005223330329445
epoch [12/80], train_loss: g_loss: 2.521601438522339, d_loss: 0.5282442569732666, val_loss: 3.3560281781589283
epoch [13/80], train_loss: g_loss: 3.2206106185913086, d_loss: 0.38900670409202576, val_loss: 4.5833527060116035
epoch [14/80], train_loss: g_loss: 1.8112993240356445, d_loss: 0.5135469436645508, val_loss: 2.7551698263953712
epoch [15/80], train_loss: g_loss: 2.0754430294036865, d_loss: 0.6846871972084045, val_loss: 2.077354676583234
epoch [16/80], train_loss: g_loss: 3.9488525390625, d_loss: 0.4559190273284912, val_loss: 4.172141131232767
epoch [17/80], train_loss: g_loss: 4.413229942321777, d_loss: 0.46818089485168457, val_loss: 4.142208758522482
epoch [18/80], train_loss: g_loss: 3.534543752670288, d_loss: 0.636448860168457, val_loss: 3.2722509187810562
epoch [19/80], train_loss: g_loss: 2.3190879821777344, d_loss: 1.626318335533142, val_loss: 3.320366424672744
epoch [20/80], train_loss: g_loss: 2.5100507736206055, d_loss: 0.3413904905319214, val_loss: 2.971002452513751
epoch [21/80], train_loss: g_loss: 3.229793071746826, d_loss: 0.40949827432632446, val_loss: 4.12841181194081
epoch [22/80], train_loss: g_loss: 3.18513822555542, d_loss: 1.1483485698699951, val_loss: 3.8148780009325813
epoch [23/80], train_loss: g_loss: 3.5390052795410156, d_loss: 0.1151634231209755, val_loss: 3.8256241293514477
epoch [24/80], train_loss: g_loss: 3.5570054054260254, d_loss: 0.5517556667327881, val_loss: 4.3826546949498795
epoch [25/80], train_loss: g_loss: 3.142228603363037, d_loss: 0.6499815583229065, val_loss: 3.6509307693032658
epoch [26/80], train_loss: g_loss: 2.7952582836151123, d_loss: 0.3911808729171753, val_loss: 3.069923428928151
epoch [27/80], train_loss: g_loss: 2.583449363708496, d_loss: 0.46695101261138916, val_loss: 3.5255776293137493
epoch [28/80], train_loss: g_loss: 3.181087017059326, d_loss: 0.26803430914878845, val_loss: 3.0944120743695427
epoch [29/80], train_loss: g_loss: 2.923241376876831, d_loss: 0.2700503468513489, val_loss: 3.1228342196520638
